depth,TAR,BIT
54,0.184095,
50,0,0.62
41.15,0.97721274,
39.3,0.97945715,1
37.95,0.99594563,1
36.75,0.99333547,1
35.75,0.98883812,1
33.95,0.93367961,0.99
29,0.98168574,1
25.3,0.96764643,1
17.45,0.89535594,0.94
15.75,0.90272686,0.86
12.8,0.97036828,0.84
12.75,0.97233659,1
11.4,0.9524482,0.95
9.8,0.99579047,0.85
9.3,0.97771514,0.92
8.25,0.96515158,0.9
7.75,0.96806655,0.92
5.85,0.96866173,0.98
5.5,0.77231979,0.96
5.05,0.98813979,1
3.2,0.62822483,1
2.6,0.6447541,1
