depth,algal_median,algal_25pctile,algal_75pctile,algal_mean,algal_std,plant_median,plant_25pctile,plant_75pctile,plant_mean,plant_std,soil_median,soil_25pctile,soil_75pctile,soil_mean,soil_std,nIter,rmse_mean
610.45,0.22050881481632884,0.21675694393232653,0.22494366105108368,0.22078723245272233,0.0052289260735691205,0.7456493419280366,0.7325943756639455,0.7598860747911163,0.7462542795889024,0.017633556901089656,0.032443182414875184,0.02767312351306527,0.03838651082085325,0.03341232316074963,0.007692061101557841,1000.0,0.00031430725260391435
610.78,0.9121136619987649,0.8876549366950486,0.9377334497836843,0.9123911914493225,0.03396515910159378,0.0,0.0,0.0,0.0,0.0,0.08633548021954743,0.06758111113241888,0.1045771686870101,0.08722165278952873,0.024390995264703477,1000.0,0.00031430725260391435
610.87,0.2174564990792276,0.21359278485019959,0.22209034456817547,0.21770601726762906,0.0051421882198701,0.7678653869627157,0.7540651124528126,0.7835473173585024,0.7687244867499169,0.0181104864850389,0.013886303579636643,0.009195215845172095,0.01841005810284311,0.014064547243668313,0.005715584437736157,1000.0,0.00031430725260391435
611.01,0.0,0.0,0.0,0.0,0.0,1.0002953211852832,0.9765510397757945,1.0254653961269105,1.0011085889881755,0.028575271345646396,6.97633840701456e-07,1.6883968912094678e-07,1.5741722875423176e-06,9.549493044664167e-07,8.567647562440235e-07,1000.0,0.00031430725260391435
611.14,0.2438783893307861,0.2399115506052051,0.2488618665148955,0.24423426749890834,0.0056806999154208225,0.7381056492902178,0.7257304092891467,0.7523755249763778,0.7388032423549475,0.01715111251416437,0.017017613557467854,0.011913207584117496,0.02215960076697482,0.017391038661912175,0.006516944117891098,1000.0,0.00031430725260391435
611.19,0.0,0.0,0.0,0.0,0.0,1.0002952857641982,0.9765509519382584,1.0254652825175707,1.001108505139952,0.028575264506743837,7.566325354433235e-07,1.8189350309170376e-07,1.6988472854445763e-06,1.0385556085520976e-06,9.3232476310658e-07,1000.0,0.00031430725260391435
611.27,0.19704218663838544,0.1934707757784394,0.20139331120867826,0.19728049690090663,0.004722863695053448,0.7892979657304611,0.7745816424383039,0.8059006154933823,0.7900961555860436,0.018853468626276747,0.012954493115478988,0.008712825867762189,0.0170598214675073,0.01316831650418915,0.005218286659035155,1000.0,0.00031430725260391435
611.39,0.02885148769471378,0.028178685556245777,0.029576237018647825,0.02889155354672355,0.000925146455491313,0.9696575166118178,0.9474169087100934,0.9935907710566655,0.9703834071055899,0.02687831366461161,0.001714081267058284,0.0010889833575195933,0.0023253078778242855,0.0017438806436823133,0.0007603972857135314,1000.0,0.00031430725260391435
611.47,0.25009901669122386,0.24597439690674797,0.2550874206350526,0.2504449173407277,0.005816796772365425,0.7226506006092503,0.7105086544183725,0.736204122639138,0.7232769465123166,0.016769940193479695,0.026200682576325608,0.020868358110935868,0.03155792916843397,0.02667687716435576,0.007446022802440991,1000.0,0.00031430725260391435
611.54,0.11720367522230103,0.11484385197297663,0.11995163500308491,0.11733297214451092,0.0030051804297689592,0.8710834223337326,0.8538004446281631,0.8919721740288254,0.8722755195781857,0.02212211914668338,0.010913094811022941,0.00838030394846106,0.013511083483991639,0.011142518238982635,0.003411233583546993,1000.0,0.00031430725260391435
611.59,0.14886180090582138,0.14605249035609236,0.15217392169964306,0.14901581860286375,0.0037048772164460747,0.8394144016572243,0.8226709588471531,0.8582644839525063,0.8400948539314143,0.020761555774999055,0.011332024514873142,0.008119546448714224,0.014471056065696201,0.011556888295518427,0.004084789450364227,1000.0,0.00031430725260391435
611.64,0.07097925401347376,0.06943881323192846,0.07266457574129141,0.07105527303331934,0.0019345520877160978,0.9220652369688542,0.902541247506013,0.9445017464061909,0.9232196774841269,0.024466909509696558,0.006462926219563514,0.004937906415156679,0.008034216115661491,0.006611883534781264,0.0020634079994988172,1000.0,0.00031430725260391435
611.69,0.09615219038946489,0.0941884151519287,0.0983932076369146,0.0962740671226034,0.002536096282029993,0.8988337222656668,0.8807199392643632,0.9208443361148143,0.9002482909805856,0.023363608024457597,0.004236329917180001,0.0021687213167327487,0.006226274223887523,0.004299115018500591,0.002419356403556794,1000.0,0.00031430725260391435
611.75,0.046610413800632286,0.045589904389017506,0.047770474682391165,0.04668212577886133,0.0013517604191861298,0.9520460844318892,0.9310610356559055,0.9760419828959588,0.9531264892153213,0.02596662501155223,0.0010567157484576521,0.00011596145097233964,0.001993269797282524,0.0011593722878012276,0.0010068052552145664,1000.0,0.00031430725260391435
611.77,0.07680054445294442,0.07515942048782093,0.07861321189551151,0.0768951598390728,0.002082791164362029,0.9208547102162601,0.9015109202009259,0.9435548145857946,0.922022532959024,0.024397026547136443,0.001805563330246143,0.0002619713438036905,0.0033436804801878586,0.001962387010708895,0.0016769556152655676,1000.0,0.00031430725260391435
611.8,0.0,0.0,0.0,0.0,0.0,1.000295286699428,0.9765509542320334,1.025465285497786,1.0011085073400077,0.028575264686544945,7.549294833047856e-07,1.815537138912793e-07,1.6954015294349214e-06,1.0363619170794368e-06,9.30337938628363e-07,1000.0,0.00031430725260391435
611.84,0.29260761504263055,0.2879964695885979,0.29795990265450323,0.29290062691158925,0.006695188358627223,0.6802386510362459,0.668967227972429,0.6922249169667828,0.6807393183491475,0.015543281430685946,0.026213792441653443,0.019972922300303123,0.03240541213126298,0.02666811558085492,0.008249297820324474,1000.0,0.00031430725260391435
