depth,algal_median,algal_25pctile,algal_75pctile,algal_mean,algal_std,plant_median,plant_25pctile,plant_75pctile,plant_mean,plant_std,soil_median,soil_25pctile,soil_75pctile,soil_mean,soil_std,nIter,rmse_mean
50.0,0.39054385963544613,0.3818737755594456,0.39820164780910605,0.39028993879737567,0.01137408169066816,0.0,0.0,0.0,0.0,0.0,0.6092363451688627,0.5988723127833355,0.6196797810463497,0.6093891430591142,0.014821908286768607,1000.0,0.00388694410313596
39.3,0.0,0.0,0.001392804608424494,0.0010465196328394934,0.0019191442066396039,0.5549728915256974,0.190756858374051,0.9854623385093214,0.5838863276931797,0.39551742795119604,0.4365623026671459,0.0,0.811336270216815,0.4152387803335469,0.3957629907179713,1000.0,0.00388694410313596
37.95,0.0,0.0,0.0,0.00012034408621340297,0.0003892421028127988,0.40878852299649016,0.09539327207998617,0.8589695185256432,0.4652944800630773,0.37356115996202965,0.5947179510931537,0.14028099364998628,0.9073838979420772,0.5345910555346141,0.37308306507882566,1000.0,0.00388694410313596
36.75,0.0,0.0,0.0,0.00027562626310322964,0.0007227041732019414,0.4924328990853122,0.1235303579151258,0.9392412111895152,0.5117497536084433,0.3824166779757365,0.5091967939504134,0.057080545159116994,0.8751323030255203,0.4880645587227606,0.3813666424936518,1000.0,0.00388694410313596
35.75,0.0,0.0,0.0,0.0005847600974447961,0.0012903859354485405,0.6364947374804925,0.1657702543544839,0.9690340193150987,0.5722007090364226,0.3880745196899957,0.36912091130070834,0.0017116701235239608,0.8249775686047046,0.42767627274197195,0.38658515462836257,1000.0,0.00388694410313596
33.95,0.0011984595862692346,0.0,0.005037226667286506,0.0025657868949958925,0.0028775730035931,0.03189249241257394,0.008190902562578444,0.09849282926197414,0.057508467559024626,0.058795351064765786,0.9555181539349477,0.8908156202622536,0.9916682834898477,0.9399614175665875,0.06736243403393492,1000.0,0.00388694410313596
29.0,0.0,0.0,0.0011128020436216432,0.0009603909159427458,0.0018241634498093364,0.6428844341715889,0.20208197418931653,0.9848438484559763,0.5958014677875282,0.39314533243151173,0.35410555811207467,0.0,0.7986370980297972,0.4034810567764492,0.3921763438979708,1000.0,0.00388694410313596
25.3,0.0,0.0,0.0002918348181505933,0.0010580331623745692,0.0022675888007876797,0.28516473925230346,0.09687940262024934,0.9542319938232677,0.4240190829310632,0.38117955939143133,0.7037899775104641,0.0,0.9019855343093955,0.5742616981282002,0.384190312401727,1000.0,0.00388694410313596
17.45,0.03428241585868977,0.03253153759464491,0.03626961500197114,0.034450614429980014,0.002539651410359765,0.35008909931440224,0.32374441282913546,0.38137096614694965,0.35295752574072276,0.03991525277910407,0.6152653186900255,0.5818567281587078,0.6444818490825606,0.6124534225805773,0.04207250386440655,1000.0,0.00388694410313596
15.75,0.054112435104619605,0.051093074575571135,0.05736196556241588,0.054054552085565664,0.004123730615900126,0.6048491735575583,0.5807232537829853,0.6309136106743232,0.6069392666911134,0.03445005943867903,0.34311164115715337,0.3160549797954556,0.36186005058380155,0.3390512498986365,0.03028812664693627,1000.0,0.00388694410313596
12.8,0.012862558099661366,0.005502162739855331,0.019516819850986925,0.01244102675516865,0.008043925593388967,0.9204930970746533,0.8771404937207761,0.961963279144707,0.9217022401667623,0.05565745884465607,0.06838894911509624,0.029016961945558285,0.10403689094291084,0.06642972416001629,0.04291125180401716,1000.0,0.00388694410313596
12.75,0.0,0.0,0.0012927593234905647,0.001229210332035347,0.0022841706083538676,0.4082266835552911,0.1421258292219287,0.9719858784888068,0.5147341049917777,0.39593088606290633,0.5920575677243578,0.0,0.8600838325299578,0.48381197699500816,0.39811268806122674,1000.0,0.00388694410313596
11.4,0.018069813465388718,0.015564352839387832,0.02064428093359858,0.01793916490966586,0.003566158086990672,0.5619362334739963,0.5003655640897121,0.6404396220515138,0.5756412612817075,0.09545049029600436,0.4227113938156729,0.3425022211516861,0.47669784290261874,0.40640560947752197,0.09275752210481746,1000.0,0.00388694410313596
9.8,0.0,0.0,0.0,0.00028653713751382374,0.0008594750682027168,0.9865054838587413,0.9633164293095745,1.012342491991875,0.9876763331904134,0.030703793030741444,0.009478941363824569,0.0031531347423586244,0.02023472510215052,0.012788441284659387,0.011627681415146631,1000.0,0.00388694410313596
9.3,0.0058357507665506405,0.0,0.012031898917186595,0.006597509305192929,0.005991084794780711,0.9209979989442532,0.8372556334192751,0.9751937680096792,0.9078226513048242,0.0817466483195756,0.07316205441528803,0.014548292759982095,0.15378094550827354,0.08609938846173354,0.07286553592635903,1000.0,0.00388694410313596
8.25,0.01611334394761512,0.01002248534570925,0.021390339809822502,0.01531545439087209,0.007194267022677322,0.8298100173190772,0.7734696190843671,0.892844673111506,0.8386844586350727,0.07872764408726253,0.1555606591768866,0.09267596774270226,0.2060971998678036,0.1463830240129924,0.06975230976083284,1000.0,0.00388694410313596
7.75,0.013384099405731093,0.007323284236370269,0.018298835010629393,0.012547111159217635,0.006844396975895686,0.8178212824526279,0.7494767866596824,0.8965343199572121,0.8295174021391313,0.09519514848045645,0.16993624892084436,0.08826024185078107,0.23426230121677796,0.15828862184413114,0.08713452819877446,1000.0,0.00388694410313596
5.85,0.004928654570923178,0.0027369260779859677,0.007577698697216979,0.005084383452648872,0.003189590197177094,0.4105361145487044,0.26394663507959526,0.6244868388513315,0.4597547882872849,0.26657943415953395,0.5844701963358216,0.3683810296667206,0.7389389627211433,0.5350205494385212,0.26575660087281394,1000.0,0.00388694410313596
5.5,0.02934603955211832,0.025375200164147134,0.032615060162865375,0.028913283859000986,0.004494788653975745,0.10702098404801383,0.09152201835279924,0.12065114400383348,0.10607832070789139,0.018192753664901987,0.866108514441057,0.8411151926683756,0.8861411469389899,0.864907042891918,0.03078221977469157,1000.0,0.00388694410313596
5.05,0.0,0.0,0.0,0.0006251890551360616,0.0013584198863218942,0.627745736568749,0.18141113894810434,0.9718881451448169,0.5768564932218094,0.3886138109775297,0.3704017444852442,0.00022092060978198824,0.8179198758446024,0.4228592204653465,0.3873116602487406,1000.0,0.00388694410313596
