depth,algal_median,algal_25pctile,algal_75pctile,algal_mean,algal_std,plant_median,plant_25pctile,plant_75pctile,plant_mean,plant_std,soil_median,soil_25pctile,soil_75pctile,soil_mean,soil_std,nIter,rmse_mean
11.25,0.03583749362554109,0.03447194844905009,0.037227666230165754,0.03586372634415273,0.001872122169663539,0.9286420089307784,0.9072680205632746,0.9510869096654979,0.9296053787481601,0.025356956812150545,0.03444959031511896,0.032324896215583154,0.036707602879878266,0.03460638858228267,0.003059510645943585,1000.0,0.0008711492094595457
12.15,0.04003469416202116,0.03870936537643882,0.04128632545068198,0.040023240922902104,0.0018086765235570776,0.8069987791648188,0.7894710016926092,0.8277364484790009,0.8084959137829362,0.027673401016022267,0.14868580948342766,0.13339955705696485,0.1689095180021627,0.15134265225722843,0.021250122980964077,1000.0,0.0008711492094595457
12.8,0.1404818411474393,0.13546108893612752,0.14499725010854816,0.1403298139537926,0.00638251621816926,0.5050434886926263,0.4870915526110439,0.5213138117869301,0.5043394223250622,0.02295825800250482,0.3532934757190666,0.3312682530030895,0.3780024390973209,0.35502138390554194,0.02770281137664726,1000.0,0.0008711492094595457
13.15,0.04970170714394967,0.048279608401899266,0.0510114382982685,0.04969977014994548,0.001919558603234644,0.8178964177704995,0.8019223778977456,0.8368388165974552,0.8191595089173315,0.023892108940081834,0.12973598130496933,0.11879450272283537,0.14282867675077515,0.1310426076529066,0.014629410095836301,1000.0,0.0008711492094595457
13.43,0.03709935054158584,0.032439982627077375,0.04003701783100934,0.03608733167044213,0.005003632760509975,0.6148813857385745,0.5292926591010393,0.6617332622590996,0.5950198781206782,0.08244359609714777,0.34719419030724175,0.2937223449612306,0.4393487519328105,0.36842431490281125,0.08670398344061353,1000.0,0.0008711492094595457
13.65,0.06452236939632489,0.06218307659691072,0.06681273220851552,0.0644670206701715,0.0032152873620427433,0.6757224790503513,0.6504298554350011,0.6980070760044692,0.6740992582998377,0.032704527023923326,0.25747924704906866,0.2322862567120449,0.2884860786592958,0.26115500524297347,0.032828873505350034,1000.0,0.0008711492094595457
14.16,0.03277569514742899,0.02929301911795103,0.03502756390365036,0.03203067059188036,0.003852601262809558,0.6657839902288969,0.5873965077773383,0.7095110323769398,0.6472833963835227,0.07718056534363682,0.29939472075455187,0.2522426589170092,0.38368296934759805,0.32025953551352027,0.07994549267727609,1000.0,0.0008711492094595457
14.65,0.021185630388193256,0.011885750146617718,0.024808585930998953,0.017881674358916168,0.008807461276508926,0.5522981536338386,0.3064280011616123,0.6494246637636855,0.4662428417249795,0.22475828421291008,0.42600523603368945,0.32321143438708383,0.6845183698114503,0.5151702576414762,0.2333301959833721,1000.0,0.0008711492094595457
14.92,0.08234910511032609,0.06956392390692916,0.09177955332394153,0.08052205217917612,0.013076371229809824,0.33485867323863944,0.28165431138904035,0.37303986388389204,0.32696209299934775,0.05318435973620718,0.5826872739094546,0.53238542781482,0.6484873307514848,0.592055547395066,0.06676585409513401,1000.0,0.0008711492094595457
16.15,0.006873010104799041,0.005479684583841465,0.008203759325815544,0.006854979901361779,0.0016159621597413728,0.9636321395896689,0.9411012126062139,0.9882684926385144,0.9656599889677008,0.028141367390268977,0.026587259689097663,0.02160678516572658,0.0326505298304435,0.027567044592792432,0.008110984654952458,1000.0,0.0008711492094595457
17.25,0.025652596553734704,0.024401514676887025,0.026939142814029288,0.025668407670597002,0.0016822689744585009,0.9201044252915584,0.8985161962877741,0.9415338484125851,0.9210293639530094,0.025419229917804344,0.05264107782686672,0.04850350301121781,0.057983434762429696,0.053340965697312316,0.006376223843062482,1000.0,0.0008711492094595457
18.65,0.056699970822073745,0.04832339047948308,0.06250901111495828,0.05521439481476004,0.008652694412036198,0.47298616987907655,0.39904711548986865,0.5194442435303838,0.45919814920828045,0.07213874262296008,0.4703881437550275,0.41332732162176644,0.5517968874602452,0.48509335612684445,0.08064573049839924,1000.0,0.0008711492094595457
19.21,0.2077729339634398,0.20317563769308725,0.21276027554828292,0.2079588898609327,0.006964420449039425,0.46745426716621385,0.4566633273548691,0.478259291058978,0.4673489059527424,0.01565881164205412,0.32399519424792694,0.3085779247172726,0.3402931162757893,0.32445430405609976,0.020178755542986024,1000.0,0.0008711492094595457
20.15,0.0,0.0,0.0,0.0,0.0,0.9983009368916324,0.9740137561645126,1.0251728237406046,0.9999879412780169,0.029202956555287388,0.0001300752302618169,3.305050565087602e-05,0.00028346932262989573,0.0001771137460251954,0.0001631016260436949,1000.0,0.0008711492094595457
20.35,0.02598370473716813,0.024700640914487308,0.027290770893897136,0.026015098526966124,0.0017260515851582657,0.9323005373637614,0.9106497671275622,0.9547987699103381,0.9334177881993672,0.025711276035333446,0.04037020373229018,0.03740548040710986,0.043759275760020935,0.04063173493343259,0.004423255985894733,1000.0,0.0008711492094595457
20.55,0.050529722355510294,0.04908416247332524,0.051873855647121395,0.05051633828565161,0.0019258193176831565,0.8311514627798533,0.8158946392232495,0.8501992432336875,0.8326047545000893,0.02325915155834579,0.11550320828528399,0.10659618379752209,0.1263796400915055,0.11680508990603376,0.012256413360300323,1000.0,0.0008711492094595457
20.65,0.1482695572415193,0.1447437947595667,0.1518432614793837,0.14836693514628008,0.005071339398786612,0.5658546453782654,0.5532433190516695,0.5793342867974324,0.5661421091657778,0.019231987744187495,0.28433546608673305,0.2684208358830892,0.3017563975210953,0.28524087761792805,0.020901586059678824,1000.0,0.0008711492094595457
21.15,0.00703543519978447,0.005592096177398362,0.008441970023771842,0.007031161716327013,0.001696701534610464,0.9872356544769748,0.9634531109973458,1.0139250110660203,0.9890834529811015,0.028475731043277275,0.0039822359776532645,0.0032005969498199727,0.0048598291860092475,0.004031257665487144,0.0010210904907287477,1000.0,0.0008711492094595457
21.35,0.0,0.0,0.0,0.0,0.0,0.9984198989092572,0.9740419065141808,1.025397752508473,1.0001056925707776,0.029204359698028627,4.4738721214525016e-05,1.1154565119226144e-05,9.866464952120452e-05,5.950457563601628e-05,5.3235067184254316e-05,1000.0,0.0008711492094595457
21.65,0.016560325402782836,0.015185499820372046,0.017924344302696085,0.016571180115610894,0.001667198729534044,0.9519921915223493,0.9298382935572467,0.975552060159942,0.9533725271329335,0.026731475183855696,0.029778550855215795,0.027049583400449266,0.03303774628849051,0.03014213558166685,0.004198833946838613,1000.0,0.0008711492094595457
21.825,0.01685122065604574,0.015436862066596073,0.01825140332889858,0.016858780474748904,0.00172570702146098,0.9679286826055273,0.9452501384198836,0.9931110456408778,0.9697513195448088,0.02741637856770938,0.013366142973154832,0.01221673438387765,0.014709992198085334,0.0135121607871223,0.0016894890102413904,1000.0,0.0008711492094595457
23.15,0.0,0.0,0.0,0.0,0.0,0.9984400207666958,0.9740477531464711,1.0254282226735014,1.0001275268633958,0.029204530154688036,2.8526585805648528e-05,7.223123676886879e-06,6.273555452076617e-05,3.7690040257792807e-05,3.357545640055693e-05,1000.0,0.0008711492094595457
23.35,0.0,0.0,0.0,0.0,0.0,0.9984496665984515,0.9740507516212966,1.0254432024824862,1.0001383289603407,0.02920459825559221,2.0355067413491135e-05,5.163011672221218e-06,4.523711449774814e-05,2.6896769827087142e-05,2.3919357816953864e-05,1000.0,0.0008711492094595457
23.55,0.05288192320961799,0.05146912312105229,0.05435839287641519,0.0529107785199016,0.002022060400766175,0.8708084086963461,0.8523742086889794,0.8910490474595842,0.8720301898381555,0.02304012577111301,0.07453941356089851,0.06997654283370391,0.07978061104723236,0.0750578946691256,0.006527611818183403,1000.0,0.0008711492094595457
23.62,0.270337661478124,0.2659721894408205,0.27549035188474413,0.2707306195188553,0.006132529933267295,0.6690556050198486,0.6581843253831001,0.681051353968432,0.6696649154378318,0.014745882302615343,0.05950237592885363,0.054741169438832005,0.06449771110247308,0.059661977859903716,0.0062059884065024246,1000.0,0.0008711492094595457
23.775,0.02648915175381719,0.025132875732287223,0.0278121068375934,0.02650034527926531,0.0017904710069796478,0.9489516666769248,0.9274046377228081,0.9732980534896662,0.9507569284999906,0.0264125653955734,0.02274651281112212,0.021167213167749332,0.024392477511350496,0.022843413453641076,0.002236909263079601,1000.0,0.0008711492094595457
