,algal,plant,soil
TAR_median,0.0,0.9969997763963772,
TAR_25pctile,0.0,0.995574336927695,
TAR_75pctile,0.0,0.9985239133836628,
TAR_mean,0.0,0.9970381159243172,
TAR_std,0.0,0.0016890072298006945,
BIT_median,0.041299515522490386,,0.9502714834792721
BIT_25pctile,0.025964988959577464,,0.9217753657529508
BIT_75pctile,0.05425723764296256,,0.9746749240527919
BIT_mean,0.04030820243394481,,0.9490748496147718
BIT_std,0.016854746059602917,,0.02940691813963397
nIter,1000.0,1000.0,1000.0
