,algal,plant,soil
TAR_median,0.0,0.9178775576322964,
TAR_25pctile,0.0,0.8780689960218887,
TAR_75pctile,0.0,0.959864604737503,
TAR_mean,0.0,0.9175130760114393,
TAR_std,0.0,0.048108980942352504,
BIT_median,0.022260463041791877,,0.9643321747179403
BIT_25pctile,0.015788717260671357,,0.9425089036919734
BIT_75pctile,0.02808766776665108,,0.9838034531037128
BIT_mean,0.022104862473085036,,0.9626048774734867
BIT_std,0.007339549155991974,,0.02384483363541865
nIter,1000.0,1000.0,1000.0
