,algal,plant,soil
TAR_median,0.0,0.9930675250086618,
TAR_25pctile,0.0,0.9898534815468502,
TAR_75pctile,0.0,0.9965315007085016,
TAR_mean,0.0,0.993134022066566,
TAR_std,0.0,0.003901135230842296,
BIT_median,0.01350841210283127,,0.8507801641249038
BIT_25pctile,0.011507969770998668,,0.7563692229148249
BIT_75pctile,0.015462935354031038,,0.925560757807847
BIT_mean,0.013539126542746503,,0.8401698081769902
BIT_std,0.002313876962803461,,0.10097952111849479
nIter,1000.0,1000.0,1000.0
